iter	Passed	Remaining
723	25682	9790
724	25711	9752
725	25755	9720
726	25798	9687
727	25851	9658
728	25905	9630
729	25950	9598
730	25991	9564
731	26031	9530
732	26072	9496
733	26106	9460
734	26144	9426
735	26181	9391
736	26218	9356
737	26254	9320
738	26286	9283
739	26314	9245
740	26347	9209
741	26377	9171
742	26411	9135
743	26442	9098
744	26474	9061
745	26503	9024
746	26541	8989
747	26576	8953
748	26623	8921
749	26654	8884
750	26687	8848
751	26717	8810
752	26746	8773
753	26777	8736
754	26809	8699
755	26840	8662
756	26868	8624
757	26897	8587
758	26927	8549
759	26956	8512
760	26985	8475
761	27017	8438
762	27051	8402
763	27086	8367
764	27119	8330
765	27153	8295
766	27184	8258
767	27216	8221
768	27247	8184
769	27280	8148
770	27308	8111
771	27351	8077
772	27405	8048
773	27461	8018
774	27521	7989
775	27595	7965
776	27654	7936
777	27717	7909
778	27761	7875
779	27803	7842
780	27838	7806
781	27868	7768
782	27899	7732
783	27935	7696
784	27975	7662
785	28014	7627
786	28045	7590
787	28076	7553
788	28104	7515
789	28132	7478
790	28160	7440
791	28188	7402
792	28217	7365
793	28249	7329
794	28280	7292
795	28331	7260
796	28364	7224
797	28396	7188
798	28424	7150
799	28452	7113
800	28481	7075
801	28512	7039
802	28542	7002
803	28572	6965
804	28602	6928
805	28632	6891
806	28660	6854
807	28688	6817
808	28718	6780
809	28747	6743
810	28777	6706
811	28808	6669
812	28844	6634
813	28878	6598
814	28908	6562
815	28939	6525
816	28967	6488
817	28996	6451
818	29027	6415
819	29057	6378
820	29087	6341
821	29115	6304
822	29144	6267
823	29173	6231
824	29204	6194
825	29233	6158
826	29262	6121
827	29291	6084
828	29321	6048
829	29351	6011
830	29382	5975
831	29413	5939
832	29439	5901
833	29468	5865
834	29514	5832
835	29544	5795
836	29574	5759
837	29604	5722
838	29636	5687
839	29670	5651
840	29709	5616
841	29748	5582
842	29784	5547
843	29822	5512
844	29879	5480
845	29921	5446
846	29963	5412
847	30004	5378
848	30040	5342
849	30072	5306
850	30104	5270
851	30133	5234
852	30162	5198
853	30192	5161
854	30222	5125
855	30252	5089
856	30281	5052
857	30310	5016
858	30342	4980
859	30377	4945
860	30405	4908
861	30434	4872
862	30463	4836
863	30492	4799
864	30521	4763
865	30551	4727
866	30580	4691
867	30610	4655
868	30640	4618
869	30667	4582
870	30695	4546
871	30726	4510
872	30753	4473
873	30780	4437
874	30809	4401
875	30837	4365
876	30867	4329
877	30895	4293
878	30922	4256
879	30953	4220
880	30984	4185
881	31015	4149
882	31046	4113
883	31077	4078
884	31107	4042
885	31140	4006
886	31172	3971
887	31205	3935
888	31236	3900
889	31268	3864
890	31298	3828
891	31327	3792
892	31356	3757
893	31385	3721
894	31414	3685
895	31441	3649
896	31469	3613
897	31497	3577
898	31526	3541
899	31556	3506
900	31587	3470
901	31617	3435
902	31646	3399
903	31675	3363
904	31705	3328
905	31736	3292
906	31770	3257
907	31803	3222
908	31832	3186
909	31861	3151
910	31890	3115
911	31919	3079
912	31949	3044
913	31978	3008
914	32005	2973
915	32033	2937
916	32062	2902
917	32096	2866
918	32123	2831
919	32152	2795
920	32180	2760
921	32209	2724
922	32238	2689
923	32267	2654
924	32295	2618
925	32326	2583
926	32357	2548
927	32402	2514
928	32433	2478
929	32464	2443
930	32493	2408
931	32525	2373
932	32555	2337
933	32586	2302
934	32621	2267
935	32650	2232
936	32679	2197
937	32706	2161
938	32734	2126
939	32761	2091
940	32790	2055
941	32819	2020
942	32847	1985
943	32875	1950
944	32902	1914
945	32931	1879
946	32960	1844
947	32990	1809
948	33019	1774
949	33048	1739
950	33077	1704
951	33108	1669
952	33138	1634
953	33166	1599
954	33195	1564
955	33223	1529
956	33252	1494
957	33280	1459
958	33310	1424
959	33347	1389
960	33377	1354
961	33407	1319
962	33438	1284
963	33466	1249
964	33495	1214
965	33526	1180
966	33555	1145
967	33584	1110
968	33613	1075
969	33642	1040
970	33671	1005
971	33700	970
972	33731	936
973	33759	901
974	33787	866
975	33817	831
976	33847	796
977	33877	762
978	33907	727
979	33936	692
980	33976	658
981	34014	623
982	34049	588
983	34082	554
984	34113	519
985	34144	484
986	34174	450
987	34203	415
988	34232	380
989	34262	346
990	34294	311
991	34325	276
992	34370	242
993	34402	207
994	34435	173
995	34465	138
996	34496	103
997	34541	69
998	34570	34
999	34602	0
